Russian
"['join', 'rally', 'atfree', 'patriot', 'stand', 'liberty', 'right']"
"['join', 'rally', 'atfree', 'patriot', 'stand', 'liberty', 'right']"
"['join', 'rally', 'atfree', 'patriot', 'stand', 'liberty', 'right']"
"['ur', 'credit', 'card', 'get', 'declined', 'u', 'pretending', 'sort', 'bank', 'u', 'know', 'u', 'really', 'broke', 'af']"
"['photo', 'isadora', 'kosofskypart', 'ongoing', 'series', 'documenting', 'bonding', 'visit', 'child', 'incarcerated', 'parent', 'eight', 'men', 'woman', 'prison', 'florida']"
"['eric', 'driester', 'welcomed', 'great', 'john', 'pilger', 'back', 'counterpunch', 'radio', 'week', 'discus', 'monstrosity', 'known', 'hillaryclinton', 'danger', 'clinton', 'presidency']"
"['join', 'rally', 'atfree', 'patriot', 'stand', 'liberty', 'right']"
"['stand', 'people', 'government', 'join', 'rally', 'georgia']"
"['never', 'piss', 'woman', 'remember', 'stuff', 'hasnt', 'even', 'happened', 'yet']"
"['youre', 'toilet', 'someone', 'start', 'banging', 'door', 'finish', 'business', 'sit', 'like']"
"['double', 'text', 'still', 'dont', 'reply']"
"['kanye', 'look', 'like', 'blade', 'little', 'brother', 'butter', 'knife']"
"['making', 'new', 'netflix', 'account', 'get', 'freemonth', 'trial']"
"['prochoice', 'doesnt', 'mean', 'youd', 'abortion', 'mean', 'think', 'choice', 'government']"
"['banned', 'television', 'violent', 'like', 'share', 'grew', 'watching', 'television', 'gun', 'havent', 'shot', 'killed', 'anyone', 'god', 'bless', 'south']"
"['hanged', 'dream', 'live']"
"['people', 'new', 'petition', 'disavow', 'support', 'clinton', 'political', 'dynasty', 'disqualify', 'remove', 'hillary', 'clinton', 'frompresidential', 'ballot']"
"['blactivist', 'join', 'know', 'black', 'community', 'native', 'always', 'plagued', 'array', 'issue', 'deal', 'daily', 'basis', 'watching', 'america', 'reaction', 'racism', 'telling', 'last', 'year', 'police', 'brutality', 'racism', 'made', 'forefront', 'hundred', 'unarmed', 'black', 'men', 'woman', 'died', 'hand', 'police', 'officer', 'tired', 'feel', 'neglected', 'ignored', 'enough', 'need', 'come', 'together', 'honest', 'get', 'government', 'attention', 'expect', 'solve', 'generation', 'inequality', 'oppression', 'overnight', 'however', 'expect', 'come', 'address', 'issue', 'put', 'forward', 'plan', 'make', 'change']"
"['rochester', 'police', 'officer', 'tased', 'black', 'man', 'dancing', 'onlylnpolicestate']"
"['mom', 'know']"
"['mexicas', 'solution', 'everything']"
"['everyone', 'like', 'gossip']"
"['verde', 'blanco', 'rojol']"
"['cowboy', 'stole', 'everything', 'charros']"
"['speak', 'espanol', 'doesnt', 'make', 'u', 'hispanic']"
"['every', 'saturday', 'morning']"
"['grandma', 'exactly', 'like']"
['type']
"['stop', 'using', 'word', 'god', 'sake']"
"['like', 'zoot', 'suit', 'style']"
"['speaks', 'volume']"
"['enough', 'said']"
"['black', 'american', 'really', 'different', 'problem', 'face', 'white', 'american', 'canever', 'experience', 'lifewe', 'problem', 'community', 'presidentialelections', 'beforeso', 'give', 'attention', 'told', 'medium', 'get', 'ownbusinesssubscribe', 'channelfollow', 'facebookfollow', 'instagramfollow', 'twitterthe', 'truth', 'blackand', 'white', 'problem']"
"['human', 'race', 'disconnected', 'u', 'religion', 'separated', 'u', 'politicsdivided', 'u', 'wealth', 'classified', 'u']"
"['like', 'youve', 'ever', 'felt', 'way']"
['yes']
"['real', 'man', 'put', 'family', 'first']"
"['colin', 'kaepernick', 'talented', 'football', 'playerhe', 'one', 'understands', 'real', 'nature', 'thingswe', 'black', 'first', 'americansso', 'remember', 'really', 'aresubscribe', 'channelfollow', 'facebookfollow', 'instagramfollow', 'twitter']"
"['dylan', 'storm', 'roof', 'website', 'hinted', 'chose', 'historic', 'charleston', 'toshoot', 'nine', 'people', 'death', 'emanuel', 'african', 'methodist', 'episcopal', 'church', 'insouth', 'carolinaalong', 'long', 'hatefilled', 'screed', 'yearold', 'included', 'photo', 'ofhimself', 'burning', 'american', 'flag', 'taking', 'aim', 'pistol', 'posing', 'proudlyat', 'site', 'connected', 'confederacysubscribe', 'channelfollow', 'facebookfollow', 'instagramfollow', 'twitterthe', 'truth', 'aboutpunishment', 'mercy']"
"['exactly', 'feed', 'need']"
"['remember', 'root']"
"['explosion', 'manchester', 'isi', 'attack', 'marawi', 'bomb', 'attack', 'bangkok', 'carbombing', 'syriaall', 'happened', 'one', 'day', 'heartbreaking', 'arepraying', 'everyonedont', 'think', 'vicious', 'cycle', 'bomb', 'syria', 'tostop', 'terrorist', 'another', 'bombing', 'attackscant', 'bring', 'peacestop', 'wasting', 'money', 'weapon', 'america', 'better', 'stay', 'away', 'thisand', 'start', 'taking', 'care', 'people', 'within', 'country']"
"['blessing', 'syrian', 'family']"
"['go', 'viral']"
"['kid', 'make', 'u', 'proud', 'dont', 'let', 'anyone', 'bring']"
"['nonviolence', 'powerful', 'weapon', 'cut', 'without', 'wounding', 'andennobles', 'man', 'wields', 'sword', 'healsmartin', 'luther', 'king', 'jrsubscribe', 'channelfollow', 'facebookfollow', 'instagramfollow', 'twitterthe', 'truth', 'themost', 'peaceful', 'weapon']"
"['white', 'people', 'everything', 'make', 'black', 'think', 'beautifuland', 'first', 'want', 'u', 'believe', 'european', 'standard', 'beauty', 'arethe', 'onlybut', 'let', 'tell', 'black', 'beautiful', 'need', 'keep', 'sayingand', 'showing']"
"['hater', 'gonna', 'hate', 'regardless']"
"['montgomery', 'county', 'middle', 'school', 'kid', 'tasted', 'outrage', 'publicafter', 'video', 'chanting', 'racist', 'word', 'went', 'viral', 'facebook', 'furtherdeepening', 'agony', 'racism', 'school', 'today', 'montgomery', 'county', 'middleschool', 'kid', 'tasted', 'outrage', 'public', 'video', 'themchanting', 'racist', 'word', 'went', 'viral', 'facebook', 'deepening', 'racism', 'inamerican', 'school', 'video', 'show', 'white', 'kid', 'chant', 'nword', 'school', 'busbm', 'bm']"
"['indiana', 'jury', 'awarded', 'man', 'acompensation', 'following', 'mistakenidentity', 'case', 'whereby', 'cop', 'entered', 'home', 'without', 'warrant', 'unlawfullyarrested', 'back', 'julyindiana', 'police', 'came', 'home', 'anyearold', 'high', 'school', 'student', 'deshawn', 'franklin', 'without', 'warrant', 'wokehim', 'sleep', 'wi', 'indiana', 'jury', 'give', 'black', 'mancompensationafter', 'unlawful', 'arrest', 'black', 'matter', 'bm']"
['respect']
"['black', 'woman', 'truly', 'making', 'history', 'day']"
"['novemberwill', 'mark', 'second', 'anniversary', 'tamir', 'rice', 'death', 'theyearold', 'carrying', 'toy', 'airsoft', 'gun', 'officer', 'timothy', 'loehmannshot', 'within', 'two', 'second', 'arriving', 'scene', 'grand', 'jury', 'decided', 'notindict', 'killertamirs', 'mother', 'said', 'mad', 'hell', 'grand', 'jury', 'decision', 'ofdeclaring', 'officer', 'guilty', 'went', 'say', 'bright', 'andshining', 'star', 'full', 'light', 'laughter', 'tamir', 'potential', 'tobecome', 'anything', 'world', 'officer', 'loehmann', 'garmback', 'didntgive', 'chancedue', 'corrupt', 'system', 'samaria', 'rice', 'dead', 'childhowever', 'always', 'live', 'heart', 'join', 'u', 'novemberto', 'honorthe', 'memory', 'tamir', 'show', 'support', 'family', 'remember', 'tamir', 'rice']"
"['novemberwill', 'mark', 'second', 'anniversary', 'tamir', 'rice', 'death', 'theyearold', 'carrying', 'toy', 'airsoft', 'gun', 'officer', 'timothy', 'loehmannshot', 'within', 'two', 'second', 'arriving', 'scene', 'grand', 'jury', 'decided', 'notindict', 'killertamirs', 'mother', 'said', 'mad', 'hell', 'grand', 'jury', 'decision', 'ofdeclaring', 'officer', 'guilty', 'went', 'say', 'bright', 'andshining', 'star', 'full', 'light', 'laughter', 'tamir', 'potential', 'tobecome', 'anything', 'world', 'officer', 'loehmann', 'garmback', 'didntgive', 'chancedue', 'corrupt', 'system', 'samaria', 'rice', 'dead', 'childhowever', 'always', 'live', 'heart', 'join', 'u', 'novemberto', 'honorthe', 'memory', 'tamir', 'show', 'support', 'family', 'remember', 'tamir', 'rice']"
"['everything', 'power', 'change', 'society', 'live', 'fight', 'toprotect', 'child']"
"['everything', 'power', 'change', 'society', 'live', 'fight', 'toprotect', 'child']"
"['sense', 'priority']"
"['help', 'needed', 'case', 'classic', 'example', 'racial', 'profiling', 'thesystem', 'cost', 'innocent', 'jerome', 'smithyears', 'life', 'already', 'andcan', 'cost', 'even', 'jerome', 'must', 'brought', 'home', 'one', 'pay', 'attention', 'tohim', 'one', 'fight', 'life', 'let', 'u', 'help', 'man', 'achieve', 'justice', 'please', 'signthe', 'petitionithfromlifeim', 'prison', 'entskapp', 'ref']"
"['help', 'needed', 'case', 'classic', 'example', 'racial', 'profiling', 'thesystem', 'cost', 'innocent', 'jerome', 'smithyears', 'life', 'already', 'andcan', 'cost', 'even', 'jerome', 'must', 'brought', 'home', 'one', 'pay', 'attention', 'tohim', 'one', 'fight', 'life', 'let', 'u', 'help', 'man', 'achieve', 'justice', 'please', 'signthe', 'petitionithfromlifeim', 'prison', 'entskapp', 'ref']"
"['congratulation', 'young', 'lady']"
"['december', 'rd', 'kkk', 'terrorist', 'organization', 'host', 'victory', 'parade', 'innorth', 'carolina', 'celebrate', 'election', 'donald', 'trumpjoin', 'u', 'decin', 'marshall', 'park', 'charlotte', 'voice', 'opposition', 'tothe', 'klan', 'demonstration', 'hateful', 'agenda', 'violence', 'oppressioncharlotte', 'hate']"
"['cop', 'beat', 'man', 'like', 'runaway', 'slave']"
"['cop', 'beat', 'man', 'like', 'runaway', 'slave']"
"['cop', 'beat', 'man', 'like', 'runaway', 'slave']"
"['cop', 'beat', 'man', 'like', 'runaway', 'slave']"
