ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"I don’t care how politically difficult it will be, we need a mandatory buyback of assault weapons in this country. 

We can’t wait any longer to act on gun violence. If you’re with us, sign on now:",2019-08-22T18:31:35+0000,Beto for America,100,499,5000,9999,0.00268,Alabama,0.10741,Pennsylvania,0.004978,Nevada,0.005552,New Hampshire,0.092859,New Jersey,0.003063,New Mexico,0.107984,New York,0.02355,North Carolina,0.00134,North Dakota,0.036378,Ohio,0.003255,Oklahoma,0.011871,Oregon,0.004787,Rhode Island,0.001723,Montana,0.009765,South Carolina,0.001532,South Dakota,0.005935,Tennessee,0.034463,Texas,0.00268,Utah,0.003063,Vermont,0.033889,Virginia,0.016274,Washington,0.003638,West Virginia,0.012062,Wisconsin,0.00785,Nebraska,0.010913,Missouri,0.001723,Alaska,0.001532,Idaho,0.030251,Arizona,0.003638,Arkansas,0.041738,California,0.022209,Colorado,0.03408,Connecticut,0.00785,Delaware,0.006318,"Washington, District of Columbia",0.073904,Florida,0.009956,Georgia,0.001915,Hawaii,0.038292,Illinois,0.001915,Mississippi,0.012062,Indiana,0.009573,Iowa,0.005935,Kansas,0.007467,Kentucky,0.003829,Louisiana,0.005935,Maine,0.03274,Maryland,0.036186,Massachusetts,0.03676,Michigan,0.023933,Minnesota,0.000766,Wyoming
"In Arkansas, I went to a gun show where I listened to gun owners and sellers. I appreciated hearing their perspectives, and I think it’s important that we do that — talk to people about the challenges that face us, whether we agree with them or not. But when I’m president, you won’t be able to buy assault weapons for $395 like you could at that gun show. You won’t be able to buy them at all. Sign if you agree:",2019-08-22T18:31:35+0000,Beto for America,100,499,1000,4999,0.002376,Alabama,0.105422,Pennsylvania,0.005185,Nevada,0.006049,New Hampshire,0.065241,New Jersey,0.004537,New Mexico,0.108015,New York,0.02938,North Carolina,0.00216,North Dakota,0.038021,Ohio,0.004321,Oklahoma,0.014906,Oregon,0.004537,Rhode Island,0.002592,Montana,0.010585,South Carolina,0.002592,South Dakota,0.006265,Tennessee,0.035429,Texas,0.003456,Utah,0.004321,Vermont,0.035429,Virginia,0.016202,Washington,0.006265,West Virginia,0.014042,Wisconsin,0.006481,Nebraska,0.014042,Missouri,0.00216,Alaska,0.001728,Idaho,0.03046,Arizona,0.004321,Arkansas,0.048175,California,0.022467,Colorado,0.02938,Connecticut,0.008209,Delaware,0.005833,"Washington, District of Columbia",0.074962,Florida,0.009073,Georgia,0.002376,Hawaii,0.034133,Illinois,0.001296,Mississippi,0.01577,Indiana,0.012314,Iowa,0.005401,Kansas,0.008641,Kentucky,0.002808,Louisiana,0.006049,Maine,0.02938,Maryland,0.030028,Massachusetts,0.039533,Michigan,0.02614,Minnesota,0.001512,Wyoming
"I don’t care how politically difficult it will be, we need a mandatory buyback of assault weapons in this country. 

We can’t wait any longer to act on gun violence. If you’re with us, sign on now:",2019-08-22T18:29:49+0000,Beto for America,100,499,1000,4999,0.011693,Alabama,0.046505,Pennsylvania,0.008238,Nevada,0.006644,New Hampshire,0.025512,New Jersey,0.007707,New Mexico,0.058198,New York,0.037204,North Carolina,0.001063,North Dakota,0.05182,Ohio,0.009833,Oklahoma,0.025777,Oregon,0.005315,Rhode Island,0.00372,Montana,0.011427,South Carolina,0.001594,South Dakota,0.018336,Tennessee,0.041456,Texas,0.006112,Utah,0.003189,Vermont,0.033218,Virginia,0.022588,Washington,0.007707,West Virginia,0.017539,Wisconsin,0.005315,Nebraska,0.028701,Missouri,0.00186,Alaska,0.005581,Idaho,0.029763,Arizona,0.007972,Arkansas,0.087962,California,0.026309,Colorado,0.018868,Connecticut,0.004252,Delaware,0.003189,"Washington, District of Columbia",0.065639,Florida,0.019399,Georgia,0.002657,Hawaii,0.039065,Illinois,0.003986,Mississippi,0.027638,Indiana,0.014882,Iowa,0.009833,Kansas,0.018336,Kentucky,0.01063,Louisiana,0.009035,Maine,0.018868,Maryland,0.022854,Massachusetts,0.034813,Michigan,0.019931,Minnesota,0.000266,Wyoming
"In Arkansas, I went to a gun show where I listened to gun owners and sellers. I appreciated hearing their perspectives, and I think it’s important that we do that — talk to people about the challenges that face us, whether we agree with them or not. But when I’m president, you won’t be able to buy assault weapons for $395 like you could at that gun show. You won’t be able to buy them at all. Sign if you agree:",2019-08-22T18:29:49+0000,Beto for America,100,499,1000,4999,0.010491,Alabama,0.047339,Pennsylvania,0.005374,Nevada,0.007165,New Hampshire,0.026356,New Jersey,0.009724,New Mexico,0.059621,New York,0.037615,North Carolina,0.002303,North Dakota,0.06218,Ohio,0.008956,Oklahoma,0.023541,Oregon,0.00435,Rhode Island,0.003071,Montana,0.013818,South Carolina,0.003071,South Dakota,0.017656,Tennessee,0.042989,Texas,0.006909,Utah,0.003582,Vermont,0.035312,Virginia,0.022262,Washington,0.004862,West Virginia,0.029427,Wisconsin,0.004606,Nebraska,0.0261,Missouri,0.001535,Alaska,0.006397,Idaho,0.0261,Arizona,0.009468,Arkansas,0.072927,California,0.024309,Colorado,0.018936,Connecticut,0.001791,Delaware,0.003582,"Washington, District of Columbia",0.072671,Florida,0.021494,Georgia,0.001791,Hawaii,0.036847,Illinois,0.004862,Mississippi,0.027636,Indiana,0.01433,Iowa,0.0087,Kansas,0.015865,Kentucky,0.008444,Louisiana,0.006141,Maine,0.019703,Maryland,0.023797,Massachusetts,0.034545,Michigan,0.018168,Minnesota,0.001279,Wyoming
"At mass rallies, the nation cries out: ‘Do something’ about gun violence",2019-08-22T17:56:58+0000,People's World,0,99,0,999,0.01949,Alabama,0.047976,Pennsylvania,0.005997,Nevada,0.016492,New Jersey,0.008996,New Mexico,0.071964,New York,0.037481,North Carolina,0.005997,North Dakota,0.047976,Ohio,0.023988,Oklahoma,0.016492,Oregon,0.002999,Rhode Island,0.008996,Montana,0.010495,South Carolina,0.025487,Tennessee,0.047976,Texas,0.004498,Utah,0.001499,Vermont,0.017991,Virginia,0.02099,Washington,0.011994,West Virginia,0.017991,Wisconsin,0.014993,Nebraska,0.034483,Missouri,0.002999,Alaska,0.004498,Idaho,0.02099,Arizona,0.013493,Arkansas,0.104948,California,0.017991,Colorado,0.016492,Connecticut,0.005997,"Washington, District of Columbia",0.049475,Florida,0.01949,Georgia,0.004498,Hawaii,0.050975,Illinois,0.002999,Mississippi,0.023988,Indiana,0.005997,Iowa,0.005997,Kansas,0.010495,Kentucky,0.010495,Louisiana,0.002999,Maine,0.014993,Maryland,0.026987,Massachusetts,0.032984,Michigan,0.025487,Minnesota,0.001499,New Hampshire,,,,,,
"Susan Collins has gun deaths on her hands. She wants you to believe she’s a “leader” on gun reform, but in reality, Susan falls right in line with her party when it comes to taking action. That’s because she won’t break with Mitch McConnell when it matters most and doesn’t want to provoke the NRA (who bankrolls her campaign).

Susan Collins is all talk. Chip in to replace her with someone who will lead on gun reform - not offer condolences.",2019-08-22T15:12:04+0000,Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0,99,0,999,0.08,Arizona,0.08,New Mexico,0.08,Washington,0.04,Virginia,0.08,Vermont,0.04,Utah,0.04,Texas,0.04,North Dakota,0.08,New York,0.04,New Jersey,0.04,California,0.04,Missouri,0.04,Mississippi,0.08,Minnesota,0.04,Maryland,0.04,Indiana,0.04,Georgia,0.04,Florida,0.04,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Susan Collins claims she wants to “get something done that makes a difference” on gun reform, but every time she has the power to do so, she chooses to vote with Mitch McConnell and the NRA. Meanwhile, communities across America are being ripped apart by gun violence, like the tragedies that just occurred in El Paso and Dayton.

Replacing Susan in 2020 will take a lot of resources, but there’s no limit on what our grassroots movement can achieve. Chip in to our people-powered campaign to hold Susan Collins accountable for her lack of action.",2019-08-22T15:12:04+0000,Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0,99,0,999,0.076923,California,0.076923,Florida,0.076923,Georgia,0.076923,Kansas,0.076923,Michigan,0.076923,New York,0.153846,North Carolina,0.076923,Ohio,0.076923,Oregon,0.076923,South Carolina,0.076923,Texas,0.076923,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Susan Collins is no “maverick” or independent voice in the Senate and her voting record proves it. In fact, she’s voting along party lines now more than ever before. When you’re loyal to Donald Trump and Mitch McConnell and taking thousands of dollars from the NRA, it’s impossible to take any real action to prevent gun violence.

Hundreds of mass shootings are happening under her watch, so we’re building a people-powered movement to unseat her. Chip in now - your donation goes directly towards our work to kick out Collins in 2020.",2019-08-22T15:12:04+0000,Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0,99,0,999,0.080808,Arizona,0.010101,New Mexico,0.010101,Alabama,0.020202,Wisconsin,0.040404,Washington,0.010101,Vermont,0.040404,Texas,0.020202,Tennessee,0.010101,South Carolina,0.070707,Pennsylvania,0.020202,Oregon,0.010101,Oklahoma,0.010101,Ohio,0.030303,North Carolina,0.090909,New York,0.050505,New Jersey,0.121212,California,0.010101,Nevada,0.010101,Missouri,0.040404,Michigan,0.020202,Massachusetts,0.020202,Maryland,0.020202,Kentucky,0.020202,Iowa,0.020202,Indiana,0.060606,Illinois,0.010101,Georgia,0.060606,Florida,0.010101,Connecticut,0.040404,Colorado,0.010101,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a Senator, Susan Collins should want to stop the gun violence that rips communities like El Paso and Dayton apart. But each time she has the power to do something about it, she refuses to break with Mitch McConnell and the NRA. In her 22 years in the Senate, she’s voted against banning assault weapons, against fixing holes in the background check system, and voted with the NRA to allow unchecked concealed weapons everywhere in the country.

That’s not the kind of leadership we need in the Senate. If enough of us step up, we can build a grassroots campaign that’s strong enough to unseat her and flip the Senate in 2020. Chip in to help us hold Susan accountable.",2019-08-22T15:12:04+0000,Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0,99,0,999,0.010753,Alaska,0.075269,New York,0.010753,Massachusetts,0.010753,Maryland,0.032258,Wisconsin,0.11828,Washington,0.010753,Virginia,0.010753,Texas,0.021505,Tennessee,0.021505,Pennsylvania,0.032258,Oregon,0.043011,Ohio,0.043011,North Carolina,0.043011,New Jersey,0.064516,Arizona,0.010753,Missouri,0.053763,Minnesota,0.043011,Michigan,0.010753,Kentucky,0.043011,Indiana,0.032258,Illinois,0.032258,Florida,0.021505,"Washington, District of Columbia",0.043011,Connecticut,0.021505,Colorado,0.107527,California,0.021505,Arkansas,0.010753,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a Senator, Susan Collins has real power to do something about the gun violence tearing apart communities across the country. But in her 22 years in the Senate, on every critical vote, she has sided with the NRA against gun safety including: banning assault weapons, ending the manufacture of 20 and 30-round ammunition magazines, fixing the holes in the background check system, and stopping the transfer of guns to suspected terrorists, just to name a few.

We need a Senator who backs up their words with action - not bows down to the NRA. Chip in $20.20 to power our work to replace Susan in 2020.",2019-08-22T15:12:04+0000,Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0,99,0,999,0.018868,Arizona,0.037736,New Jersey,0.018868,Wisconsin,0.018868,Washington,0.018868,Virginia,0.018868,Vermont,0.018868,South Carolina,0.018868,Pennsylvania,0.037736,Oregon,0.018868,Oklahoma,0.056604,Ohio,0.018868,North Dakota,0.113208,New York,0.018868,New Mexico,0.018868,Minnesota,0.132075,California,0.037736,Michigan,0.056604,Massachusetts,0.056604,Maryland,0.056604,Kentucky,0.018868,Iowa,0.018868,Indiana,0.037736,Illinois,0.018868,Idaho,0.037736,Florida,0.018868,"Washington, District of Columbia",0.018868,Connecticut,0.018868,Colorado,0.018868,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
